Date	Name	Type	Details
Jan 1	Wednesday	New Year's Day	National holiday	 
Jan 2	Thursday	Day After New Year’s Day	Local holiday	Quebec
Jan 6	Monday	Epiphany	Observance, Christian	 
Jan 7	Tuesday	Orthodox Christmas Day	Orthodox	 
Jan 14	Tuesday	Orthodox New Year	Orthodox	 
Jan 25	Saturday	Chinese New Year	Observance	 
Feb 2	Sunday	Groundhog Day	Observance	 
Feb 10	Monday	Tu B'Shevat (Arbor Day)	Jewish holiday	 
Feb 14	Friday	Valentine's Day	Observance	 
Feb 15	Saturday	National Flag of Canada Day	Observance	 
Feb 17	Monday	Islander Day	Common local holiday	Prince Edward Island
Feb 17	Monday	Family Day	Common local holiday	AB, BC, NB, ON, SK
Feb 17	Monday	Nova Scotia Heritage Day	Common local holiday	Nova Scotia
Feb 17	Monday	Louis Riel Day	Common local holiday	Manitoba
Feb 21	Friday	Yukon Heritage Day	Local de facto holiday	Yukon
Feb 25	Tuesday	Carnival / Shrove Tuesday	Christian	 
Feb 26	Wednesday	Ash Wednesday	Christian	 
Mar 1	Sunday	St David's Day	Observance	 
Mar 8	Sunday	Daylight Saving Time starts	Clock change/Daylight Saving Time	 
Mar 9	Monday	Commonwealth Day	Observance	 
Mar 10	Tuesday	Purim	Jewish holiday	 
Mar 16	Monday	St. Patrick's Day	Local holiday	Newfoundland and Labrador
Mar 17	Tuesday	St. Patrick's Day	Observance	 
Mar 19	Thursday	March Equinox	Season	 
Mar 22	Sunday	Isra and Mi'raj	Muslim	 
Apr 5	Sunday	Palm Sunday	Christian	 
Apr 6	Monday	National Tartan Day	Observance	 
Apr 9	Thursday	Maundy Thursday	Christian	 
Apr 9	Thursday	First day of Passover	Jewish holiday	 
Apr 9	Thursday	Vimy Ridge Day	Observance	 
Apr 10	Friday	Good Friday	National holiday, Christian	 
Apr 11	Saturday	Holy Saturday	Christian	 
Apr 12	Sunday	Easter Sunday	Designated Retail Closing Day	Nova Scotia
